Date,Headline,Link,Summary
08/01/2026,European defense stocks extend rally amid geopolitical tensions; Leonardo jumps 3%,https://www.cnbc.com/2026/01/08/european-markets-today-stoxx-600-ftse-dax-cac-greenland-in-focus.html,"European defense stocks rallied amid rising geopolitical tensions, particularly following Donald Trump's call for a 50% increase in U.S. military spending, which is projected to reach $1.5 trillion by 2027. The Stoxx Europe Aerospace and Defense index rose by 1.4%, with Leonardo shares increasing by 3.1%. Meanwhile, broader European markets were down, reflecting concerns over recent U.S. actions in Venezuela and Greenland."
08/01/2026,"Market turbulence leads to simultaneous declines in Hong Kong and US stocks! Goldman Sachs affirms: bull market continues, but momentum weakens.",https://news.futunn.com/en/post/67105833/market-turbulence-leads-to-simultaneous-declines-in-hong-kong-and,"The article discusses recent market turbulence that has caused declines in both Hong Kong and US stocks. Goldman Sachs maintains that the bull market is ongoing, although it notes that momentum is weakening. There is no mention of any IPO-related information or proceeds in the article."
08/01/2026,"2026 Outlook | Strong Economic Resilience, MAG7 to Continue Leading the U.S. Stock Market; Three 'Under-the-Radar Sectors' May Generate Excess Returns",https://news.futunn.com/en/post/67109913/2026-outlook-strong-economic-resilience-mag7-to-continue-leading-the,"The article discusses the economic outlook for 2026, highlighting the strong resilience of the U.S. economy and predicting that the MAG7 (the seven largest tech companies) will continue to lead the stock market. Additionally, it suggests that three 'under-the-radar sectors' may offer opportunities for excess returns, although specific details about these sectors are not provided. No IPO-related information or size is mentioned in the article."
08/01/2026,"Gray Market Insights | 'Biopharmaceutical Company' Ruibo Biotech closed over 34% higher, earning HKD 4,006 per lot.",https://news.futunn.com/en/post/67110628/gray-market-insights-biopharmaceutical-company-ruibo-biotech-closed-over-34,"Ruibo Biotech, a biopharmaceutical company, closed over 34% higher in the gray market, earning HKD 4,006 per lot. The article does not provide specific information regarding the IPO size or proceeds."
08/01/2026,"Gray Market Insights | 'Global Leading AI Large Model Company' MINIMAX-WP closed up 24.61%, earning HKD 812 per lot.",https://news.futunn.com/en/post/67106019/gray-market-insights-global-leading-ai-large-model-company-minimax,"The article reports that MINIMAX-WP, a leading AI large model company, closed up 24.61% in the gray market, earning HKD 812 per lot. However, it does not provide any information regarding an IPO size or proceeds."
08/01/2026,"Over-the-Counter Insights | Jinxun Resources, a 'high-quality cathode copper manufacturer,' closed 29% higher, earning HKD 1,740 per lot.",https://news.futunn.com/en/post/67106944/over-the-counter-insights-jinxun-resources-a-high-quality-cathode,"Jinxun Resources, described as a 'high-quality cathode copper manufacturer,' saw its stock close 29% higher, reaching HKD 1,740 per lot. The article does not provide any information regarding an IPO or related proceeds."
08/01/2026,"The Ministry of Industry and Information Technology (MIIT) has issued a warning about irrational competition in the lithium battery industry, with more than ten leading companies participating.",https://news.futunn.com/en/post/67115428/the-ministry-of-industry-and-information-technology-miit-has-issued,"The Ministry of Industry and Information Technology (MIIT) has issued a warning regarding irrational competition in the lithium battery industry, involving over ten leading companies. A recent meeting included 16 firms, primarily from the power and energy storage battery sectors, to discuss the need for regulatory measures to ensure fair competition within the industry."
08/01/2026,Sinopec and China National Aviation Fuel Group Announce Restructuring,https://news.futunn.com/en/post/67114593/sinopec-and-china-national-aviation-fuel-group-announce-restructuring,Sinopec and China National Aviation Fuel Group have announced a restructuring plan approved by the State-owned Assets Supervision and Administration Commission of the State Council. The details of the restructuring and its implications for the companies involved were not specified in the article.
08/01/2026,Are prediction markets about to outpace the Pentagon again? A top trader is betting on an attack against Iran.,https://news.futunn.com/en/post/67107842/are-prediction-markets-about-to-outpace-the-pentagon-again-a,"The article discusses how prediction markets may be gaining an edge over the Pentagon in forecasting potential military actions, specifically highlighting a prominent trader's bet on an imminent attack against Iran. It raises questions about the effectiveness of traditional intelligence methods compared to market-based predictions. No IPO-related information is present in the article."
08/01/2026,"Market Update | All three major indexes weakened collectively, each falling by approximately 1%; technology stocks declined, with Meituan and Baidu dropping more than 3%; defense-related stocks rose against the trend, with CSSC Offshore & Marine Engineering.",https://news.futunn.com/en/post/67105833/market-turbulence-leads-to-simultaneous-declines-in-hong-kong-and,"The article reports that all three major stock indexes experienced a collective decline of approximately 1%, with technology stocks like Meituan and Baidu dropping over 3%. In contrast, defense-related stocks, such as CSSC Offshore & Marine Engineering, rose against the overall market trend. Despite the downturn, Goldman Sachs maintains that the bull market continues, albeit with weakening momentum."
