Date,Country,Newspaper,Headline,Link,Summary
"January 15, 2026",Afghanistan,Pajhwok Afghan News,"Muttaqi vows support for trade, foreign investment",https://pajhwok.com/2026/01/14/muttaqi-vows-support-for-trade-foreign-investment/,"- Afghan Foreign Minister Mawlawi Amir Khan Muttaqi assured the Afghanistan Chamber of Commerce and Investment of full support to facilitate trade, transit, and attract foreign investment.  
- The chamber representatives discussed investment opportunities and called for more facilities to encourage foreign investors across various sectors.  
- Muttaqi emphasized his ministry’s commitment to improving conditions for trade and foreign investment in Afghanistan."
"January 15, 2026",Algeria,El Khabar,Publication of the decree establishing the SNMG,https://www.elkhabar.com/fr/nation/publication-du-decret-fixant-le-snmg-262142,"- A presidential decree establishing the National Minimum Wage Guarantee (SNMG) was published, setting the monthly minimum salary at 24,000 dinars starting January 1, 2026.
- The decree, signed by President Abdelmadjid Tebboune, follows a government decision to increase the minimum wage from 20,000 to 24,000 dinars.
- The minimum wage is based on a 40-hour workweek, with an hourly rate of approximately 138.46 dinars."
"January 15, 2026",Andorra,Bondia.ad,"The new Thyssen, in the fall",https://www.bondia.ad/cultura/el-nou-thyssen-a-la-tardor,"- The Carmen Thyssen Museum in Andorra will relocate to the basement of the Node building, with a new opening scheduled for fall 2026, featuring permanent collection displays and immersive exhibitions.
- The move aims to increase visitor numbers by leveraging the Node's central location and larger space, nearly tripling the current exhibition area.
- The museum's new space will include a permanent collection room and a large immersive exhibition area, marking a significant shift from its previous temporary-only exhibitions."
"January 15, 2026",Antigua and Barbuda,Antigua.news,"Sir Ron Sanders Says U.S. Reviewing Green Card Applications, Not Imposing Blanket Visa Ban",https://antigua.news/2026/01/14/sir-ron-sanders-says-u-s-reviewing-green-card-applications-not-imposing-blanket-visa-ban/,"- The U.S. is reviewing only immigrant visa (green card) applications, not implementing a blanket visa ban, according to Antigua's ambassador to the OAS, Sir Ron Sanders.
- No official U.S. government notification has been received; discussions involve a temporary pause of up to 60 days for vetting immigrant visa applications.
- The U.S. continues diplomatic efforts to have Antigua removed from certain visa restrictions, with no impact on non-immigrant visas at this time."
"January 15, 2026",Argentina,Infobae,Iran's regime extended the airspace closure amid tensions with the United States,https://www.infobae.com/america/mundo/2026/01/14/crisis-en-iran-en-vivo/,"- Iran has extended its airspace closure, citing unspecified reasons, amid heightened tensions with the United States over internal protests and regional security concerns.
- Iran threatened to attack U.S. military bases in the Middle East if the U.S. intervenes in support of protests, prompting evacuations and increased military alertness.
- The U.S. has requested an emergency UN Security Council meeting to address Iran's actions, while airlines are rerouting flights to avoid Iranian airspace for safety reasons."
"January 15, 2026",Armenia,Armenpress,"The most prominent headline of the day is: ""Iranian military intervention in Iran could begin within the next 24 hours.",https://armenpress.am/hy/article/1239627,"- The headline warns that Iran may initiate military action within 24 hours.
- The article appears to be inaccessible due to a website security block.
- No additional details about the situation are available from the provided content."
"January 15, 2026",Australia,The Sydney Morning Herald,Adelaide Festival apologizes to ousted writer and invites her back after days of turmoil following the cancellation of this year's program.,https://www.smh.com.au/national/adelaide-festival-apologises-for-debacle-invites-ousted-writer-to-2027-event-20260115-p5nua3.html,"- The Adelaide Festival apologized to Palestinian-Australian writer Dr Randa Abdel-Fattah after removing her from the 2026 Writers’ Week program, which led to the cancellation of the event and the resignation of its director.
- The festival cited cultural sensitivity concerns related to her past statements but has now invited her to participate in the 2027 event.
- The decision reversal follows controversy and accusations of hypocrisy regarding free speech within the festival's leadership."
"January 15, 2026",Austria,Kronen Zeitung,"Stocker defends decision: ""Reduction of VAT is not a measure for the toilet",https://www.krone.at/4015085,"- Austrian Chancellor Christian Stocker defends the recent VAT reduction on basic food items, emphasizing it is targeted and not a ""blanket measure,"" aiming to curb inflation and boost economic growth.
- The government plans to finance the measure through a tax on non-recyclable plastic, though its effectiveness and scope are debated.
- Stocker dismisses concerns about political issues involving party colleagues and maintains confidence in their integrity amid ongoing legal investigations."
"January 15, 2026",Bahamas,The Nassau Guardian,US to freeze immigrant visa processing,https://thenassauguardian.com/news/us-to-freeze-immigrant-visa-processing/article_239840a0-6ff8-4bc4-af12-14b418a8d863.html,"- The U.S. will suspend all immigrant visa processing for 75 countries, including The Bahamas, starting January 21, until further notice.
- The suspension does not affect non-immigrant, tourist, or business visas.
- The freeze is part of a reassessment of immigrant visa procedures by the U.S. Department of State."
"January 15, 2026",Bahrain,Al Ayam,Israel opens shelters amid fears of escalation with Iran,https://www.alayam.com/online/international/1120177/News.html,"- Israel has opened shelters due to fears of escalation with Iran.
- The article was inaccessible because of a security block on the website.
- The security measures were triggered by certain actions or data submissions."
