Date,Headline,Link,Summary
08/01/2026,Ribo Life-B Closes Up 29% to $74.8 on Gray Mkt,https://www.aastocks.com/en/stocks/news/aafn-con/NOW.1494815/ipo-news/AAFN,"Ribo Life-B(06938.HK), which will be listed tomorrow, opened up 12.1% to $65 on gray market. Peaking/ bottoming at $77/61, it closed at $74.8, up 29% or $16.83 from the listing price, on volume of 1.48 million shares and turnover of $108 million, according to PhillipMart data. Excluding handling fee, the book gain was $3,366 per..."
08/01/2026,Jinxun Resources Closes Up 29% to $38.7 on Gray Mkt,https://www.aastocks.com/en/stocks/news/aafn-con/NOW.1494814/ipo-news/AAFN,"Jinxun Resources(03636.HK), which will be listed tomorrow, opened up 16.7% to $35 on gray market. Peaking/ bottoming at $39.98/30, it closed at $38.7, up 29% or $8.70 from the listing price, on volume of 1.9 million shares and turnover of $70.89 million, according to Futu data. Excluding handling fee, the book gain was $1,740 pe..."
08/01/2026,MiniMax-WP Closes Up 24.6% to $205.6 on Gray Mkt,https://www.aastocks.com/en/stocks/news/aafn-con/NOW.1494813/ipo-news/AAFN,"MiniMax-WP(00100.HK), which will be listed tomorrow, opened up 15.2% to $190 on gray market. Peaking/ bottoming at $211.2/165, it closed at $205.6, up 24.6% or $40.60 from the listing price, on volume of 2.67 million shares and turnover of $523.38 million, according to Futu data. Excluding handling fee, the book gain was $812 pe..."
08/01/2026,"HK & CHINA GAS-backed EcoCeres Said to Appoint Investment Banks for HK IPO, Aiming to Raise Max. US$1B",https://www.aastocks.com/en/stocks/news/aafn-con/NOW.1494790/ipo-news/AAFN,"EcoCeres, a local renewable fuel company incubated and strategically backed by HK & CHINA GAS (00003.HK), has appointed Deutsche Bank, HSBC, Morgan Stanley and UBS to advance potential Hong Kong listing preparations, with expectations to possibly list within this year, Bloomberg quoted sources as saying.Early last year, ther..."
08/01/2026,"Baillie Gifford, GIC Buy HKD4.8B Worth of MINIMAX-WP Shrs",https://www.aastocks.com/en/stocks/news/aafn-con/NOW.1494786/ipo-news/AAFN,"Investment firms Baillie Gifford and Singaporean sovereign wealth fund GIC have subscribed to shares of MINIMAX-WP (00100.HK) in its Hong Kong IPO, involving HKD4.8 billion (around USD619 million), Bloomberg reported, citing informed sources.Informed sources indicated that the IPO pricing of MINIMAX-WP is set at the upper limit ..."
08/01/2026,"OMNIVISION Sets Offer Price at HKD104.8 per Shr, Poised to Debut Next Mon",https://www.aastocks.com/en/stocks/news/aafn-con/NOW.1494774/ipo-news/AAFN,[No content]
08/01/2026,Ribo Life-B Opens Up 8.6% to $62.95 on Gray Mkt,https://www.aastocks.com/en/stocks/news/aafn-con/NOW.1494762/ipo-news/AAFN,[No content]
08/01/2026,Jinxun Resources Opens Up 16.7% to $35 on Gray Mkt,https://www.aastocks.com/en/stocks/news/aafn-con/NOW.1494761/ipo-news/AAFN,[No content]
08/01/2026,MiniMax-WP Opens Up 15.2% to $190 on Gray Mkt,https://www.aastocks.com/en/stocks/news/aafn-con/NOW.1494759/ipo-news/AAFN,[No content]
08/01/2026,ILUVATAR COREX Closes Up 8.4% to $156.8,https://www.aastocks.com/en/stocks/news/aafn-con/NOW.1494753/ipo-news/AAFN,[No content]
