Date,Headline,Link,Summary
08/01/2026,02665 SEYOND: COMMENCEMENT OF THE EXERCISE PERIOD FOR THE SUCCESSOR COMPANY LISTED WARRANTS (52KB),https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0108/2026010800766.pdf,"- **Corporate Action**: Seyond Holdings Ltd. announces the commencement of the exercise period for its listed warrants following the completion of a De-SPAC transaction.

- **Exercise Period**: The exercise period for the Successor Company Listed Warrants starts on January 9, 2026, and ends at 5:00 p.m. on December 10, 2030.

- **Exercise Price**: Each Successor Company Listed Warrant can be exercised at a price of HK$11.50 per share, subject to adjustments.

- **Cashless Exercise**: Warrants can only be exercised on a cashless basis, with a maximum conversion ratio of 0.425 shares per warrant.

- **Redemption Option**: The company may redeem unexercised warrants if the share price reaches or exceeds HK$20.00 for 20 trading days within a 30-day period.

- **Expiration Date**: Unexercised warrants will expire on December 10, 2030, or earlier under certain conditions, including company liquidation.

- **Total Warrants**: There are 50,050,000 Successor Company Listed Warrants and 40,000,000 Promoter Warrants outstanding, allowing for a maximum of 38,271,250 shares to be issued upon full exercise."
"January 8, 2026",02665 SEYOND: COMMENCEMENT OF THE EXERCISE PERIOD FOR THE SUCCESSOR COMPANY LISTED WARRANTS (52KB),https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0108/2026010800766.pdf,"- **Corporate Action**: Seyond Holdings Ltd. (formerly TechStar Acquisition Corporation) has announced the commencement of the exercise period for its listed warrants following the completion of a De-SPAC transaction.

- **Exercise Period**: The exercise period for the Successor Company Listed Warrants starts on January 9, 2026, and ends on December 10, 2030.

- **Exercise Price**: The exercise price for the warrants is set at HK$11.50 per share, subject to adjustments.

- **Cashless Exercise**: Warrants can only be exercised on a cashless basis, with a maximum conversion ratio of 0.425 shares per warrant.

- **Redemption Option**: The company may redeem unexercised warrants if the share price reaches HK$20.00 for 20 out of 30 trading days, with a notice period of at least 30 days before the redemption date.

- **Expiration Date**: Warrants will expire on December 10, 2030, or earlier in case of liquidation or redemption.

- **Outstanding Warrants**: There are currently 50,050,000 Successor Company Listed Warrants and 40,000,000 Successor Company Promoter Warrants outstanding, potentially allowing for the issuance of up to 38,271,250 shares.

- **Investor Action**: Investors should be aware of the exercise procedures and deadlines to ensure they do not miss the opportunity to exercise their warrants before expiration."
"January 14, 2026",01024 KUAISHOU-W: PROPOSED ISSUE OF USD AND CNY DENOMINATED SENIOR NOTES (468KB),https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0114/2026011400059.pdf,"- **Corporate Action**: Kuaishou Technology is proposing an international offering of USD and CNY denominated senior notes aimed at professional investors only.

- **Financial Details**: The specific terms of the notes, including the aggregate principal amount, interest rate, and payment date, have not yet been determined. The net proceeds will primarily be used for general corporate purposes.

- **Underwriters**: The USD notes will be managed by Merrill Lynch, Morgan Stanley, UBS, and Jefferies, while the CNY notes will be managed by UBS, Merrill Lynch, Morgan Stanley, Jefferies, and Industrial Bank.

- **Regulatory Compliance**: The notes will not be registered under U.S. securities laws and will only be offered to qualified institutional buyers in the U.S. and non-U.S. persons outside the U.S.

- **Listing**: An application will be made for the listing of the notes on the Stock Exchange of Hong Kong, but this does not indicate the merits of the company or the notes.

- **Investor Caution**: No binding agreement has been entered into regarding the proposed notes issue, and investors are advised to exercise caution when dealing with the company's securities.

- **Key Dates**: The announcement is dated January 14, 2026, but no specific deadlines for the offering are provided. Further announcements will be made as necessary."
"January 14, 2026",01024 KUAISHOU-W: PROPOSED ISSUE OF USD AND CNY DENOMINATED SENIOR NOTES (468KB),https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0114/2026011400059.pdf,"- Kuaishou Technology plans to issue USD and CNY denominated senior notes through an international offering targeted at professional investors.
- The specific terms, including principal amounts, interest rates, and payment dates, are yet to be determined.
- The offering will be conducted via a book-building process managed by multiple global financial institutions, with final agreements expected after terms are finalized.
- The notes will be offered only outside the U.S. to qualified or non-U.S. persons, and will not be registered under U.S. securities laws.
- The proceeds are intended for general corporate purposes, but may be used differently if market conditions change.
- Listing on the Hong Kong Stock Exchange is planned, but this does not imply any endorsement of the securities.
- No public offering of the notes will be made in Hong Kong or to retail investors in Europe or the UK.
- The issuance is subject to market conditions and investor interest, and further updates will be provided as appropriate."
"January 16, 2026","01024 KUAISHOU-W: ISSUANCE OF US$600,000,000 4.125% SENIOR NOTES DUE 2031, US$900,000,000 4.750% SENIOR NOTES DUE 2036 AND CNY3,500,000,000 2.450% SENIOR NOTES DUE 2031 (492KB)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0116/2026011600051.pdf,"- Kuaishou Technology announced the issuance of three new senior notes: US$600 million due 2031, US$900 million due 2036, and CNY 3.5 billion due 2031, to raise approximately US$1.49 billion and CNY 3.5 billion.
- The proceeds will primarily fund general corporate purposes; the company may use the funds differently if needed due to unforeseen events.
- The notes will be listed on the Hong Kong Stock Exchange for professional investors only, with no public offering in the U.S. or Hong Kong.
- Key dates: The purchase agreements were signed on January 15, 2026, with issuance subject to certain conditions.
- Interest rates: 4.125% for 2031 USD notes, 4.75% for 2036 USD notes, and 2.45% for CNY notes, with semi-annual payments starting July 22, 2026.
- The notes are senior unsecured obligations, ranking above subordinated debt but below secured obligations.
- The offering is targeted at qualified institutional buyers and professional investors, with specific restrictions for retail investors in Europe and the UK.
- The announcement emphasizes that the offering is subject to conditions and potential risks, advising investors to exercise caution."
"January 16, 2026",00020 SENSETIME-W: NEXT DAY DISCLOSURE RETURN (86KB),https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0116/2026011601029.pdf,"Summary not available (Error: Error code: 403 - {'error': {'message': 'This model is not available in your region.', 'code': 403}})"
"January 16, 2026",09868 XPENG-W: GRANT OF RESTRICTED SHARE UNITS (284KB),https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0116/2026011600940.pdf,"Summary not available (Error: Error code: 403 - {'error': {'message': 'This model is not available in your region.', 'code': 403}})"
"January 16, 2026","01024 KUAISHOU-W: ISSUANCE OF US$600,000,000 4.125% SENIOR NOTES DUE 2031, US$900,000,000 4.750% SENIOR NOTES DUE 2036 AND CNY3,500,000,000 2.450% SENIOR NOTES DUE 2031 (492KB)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0116/2026011600051.pdf,"Summary not available (Error: Error code: 403 - {'error': {'message': 'This model is not available in your region.', 'code': 403}})"
"January 16, 2026","01024 KUAISHOU-W: ISSUANCE OF US$600,000,000 4.125% SENIOR NOTES DUE 2031, US$900,000,000 4.750% SENIOR NOTES DUE 2036 AND CNY3,500,000,000 2.450% SENIOR NOTES DUE 2031 (492KB)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0116/2026011600051.pdf,"- Kuaishou Technology announced the issuance of three new senior notes: US$600 million (due 2031), US$900 million (due 2036), and CNY 3.5 billion (due 2031), to raise approximately US$1.49 billion and CNY 3.5 billion.
- The proceeds are primarily for general corporate purposes, with potential adjustments if business conditions change.
- The notes will be listed on the Hong Kong Stock Exchange and are targeted at professional investors only.
- Key dates: The purchase agreements were signed on January 15, 2026, with issuance subject to certain conditions.
- The notes will bear interest at rates of 4.125%, 4.750%, and 2.450% respectively, with semi-annual interest payments starting July 22, 2026.
- The US dollar notes are offered at discounts (around 0.6% to 0.9%) to their face value, while the CNY notes are issued at par.
- The notes are senior unsecured obligations, ranking above subordinated debt but below secured obligations.
- The offering is limited to qualified institutional buyers in the US and outside the US under Regulation S, with no public offering in Hong Kong or retail investors in Europe or the UK."
"January 16, 2026","01024 KUAISHOU-W: ISSUANCE OF US$600,000,000 4.125% SENIOR NOTES DUE 2031, US$900,000,000 4.750% SENIOR NOTES DUE 2036 AND CNY3,500,000,000 2.450% SENIOR NOTES DUE 2031 (492KB)",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0116/2026011600051.pdf,"- Kuaishou Technology announced the issuance of three new senior notes: US$600 million due 2031, US$900 million due 2036, and CNY3.5 billion due 2031, to raise approximately US$1.49 billion and CNY3.5 billion.
- The funds will primarily be used for general corporate purposes, with the possibility of different use if business conditions change.
- The notes will be listed on the Hong Kong Stock Exchange for professional investors only, with no public offering in the U.S. or Hong Kong.
- Key terms include interest rates of 4.125% (2031 USD notes), 4.750% (2036 USD notes), and 2.45% (CNY notes), with semi-annual interest payments starting July 22, 2026.
- The notes are senior unsecured obligations, ranking above subordinated debt but below secured obligations, and are subject to certain default events.
- The issuance was agreed upon on January 15, 2026, with various international banks acting as joint global coordinators and underwriters.
- The notes are offered under specific U.S. regulations, relying on exemptions for institutional and non-U.S. investors, and are not available to retail investors in Europe or the U.K."
