Date,Headline,Link,Summary
08/01/2026,US immigration agent fatally shoots woman in Minneapolis,https://www.bbc.com/news/articles/c0jvnl4j1n4o,"A US immigration agent fatally shot 37-year-old Renee Nicole Good in Minneapolis after she allegedly attempted to run over agents with her vehicle. The incident has sparked protests and criticism from local officials, including Minneapolis Mayor Jacob Frey, who described the agent's actions as reckless. The FBI is investigating the shooting, while President Donald Trump and other federal officials have defended the agent's actions, labeling Good's behavior as an act of domestic terrorism."
08/01/2026,Video shows moment US immigration agent fatally shoots woman,https://www.bbc.com/news/videos/cx2ypz4zjvxo,"A video has emerged showing a US immigration officer fatally shooting a woman in a car on a residential street in Minneapolis, Minnesota. The incident has raised significant concern, prompting a press conference by Chief Brian O'Hara of the Minneapolis Police Department, who described the scene following the shooting."
08/01/2026,Australia PM announces royal commission into Bondi shooting,https://www.bbc.com/news/articles/c8x94lz0gevo,"Australian Prime Minister Anthony Albanese has announced a royal commission into the Bondi Beach shooting that left 15 people dead, following public pressure for a thorough investigation. The commission will focus on antisemitism in Australia, the circumstances of the attack, and recommendations for improving social cohesion and countering extremism. Former High Court Justice Virginia Bell will lead the inquiry, which is expected to report by December 2026."
08/01/2026,A new Bollywood film spotlights a forgotten India-China battle,https://www.bbc.com/news/articles/c8d09qd6zn2o,"A new Bollywood film is bringing attention to the forgotten 1962 India-China war, highlighting the bravery and sacrifices of Indian soldiers during the conflict. The film aims to educate audiences about this significant yet overlooked chapter in history, showcasing the personal stories of those who fought. It seeks to foster a deeper understanding of the historical tensions between India and China."
08/01/2026,'We are not for sale': Greenlanders express fear and indignation as Trump eyes territory,https://www.bbc.com/news/articles/cvgx8w4pgk0o,"Greenlanders are expressing fear and indignation in response to US President Donald Trump's interest in purchasing their territory, which has historically belonged to Denmark. Many residents assert that they do not want to become American and view the administration's rhetoric as a threat, particularly following recent military actions by the US. While Greenlanders generally favor independence from Denmark, they oppose being owned by the US, fearing that any annexation would simply replace one form of colonial rule with another."
08/01/2026,Heatwave hits Australia as officials warn of 'catastrophic' fire risk,https://www.bbc.com/news/articles/cy4q898dkwxo,"Australia is facing a severe heatwave, with officials warning of ""catastrophic"" fire conditions, particularly in Victoria where a total fire ban has been declared. Temperatures are expected to soar above 40°C in several regions, prompting school closures and increased firefighting efforts. Meteorologists indicate that these conditions could lead to significant fire risks reminiscent of the devastating Black Summer bushfires."
08/01/2026,Andrew was paid millions for mansion by oligarch linked to bribery scheme,https://www.bbc.com/news/articles/c8d09qd6zn2o,"A BBC investigation revealed that Andrew Mountbatten-Windsor sold his mansion, Sunninghill Park, for £15 million in 2007 to Kazakh oligarch Timur Kulibayev, who used funds from a company linked to a bribery scheme. This raises concerns about whether Andrew inadvertently benefited from criminal proceeds and if proper checks were conducted during the sale, especially given the ongoing allegations of corruption in Kazakhstan at the time. Kulibayev's lawyers deny any wrongdoing, asserting the legitimacy of the funds used for the purchase."
08/01/2026,Footage shows violent clashes as Iran protests spread to more areas,https://www.bbc.com/news/articles/cgm4y0ewe93o,"Violent clashes erupted in Iran as protests against the government's handling of the economic crisis spread to 111 cities, resulting in at least 34 deaths among protesters and security personnel. Demonstrators, including students, are voicing their anger over the plummeting value of the rial and high inflation, with chants against Supreme Leader Ayatollah Khamenei and in support of the exiled Pahlavi dynasty. The government has responded with security measures while also announcing financial aid to citizens to alleviate the cost of living."
08/01/2026,Cambodia extradites alleged scam mastermind to China after arrest,https://www.bbc.com/news/articles/cy4q8e88n2vo,"Cambodia has extradited billionaire businessman Chen Zhi to China, where he is accused of masterminding a vast cryptocurrency scam that involved trafficking workers for forced labor in online fraud operations. Chen, along with two other Chinese nationals, was arrested following a joint investigation into transnational crime, and the US has charged him with running scams that allegedly stole billions in cryptocurrency. His business empire, Prince Group, has faced sanctions and its bank operations have been suspended amid ongoing investigations into its activities."
08/01/2026,Trump withdraws US from key climate treaty and dozens of other groups,https://www.bbc.com/news/articles/cp80ln97py5o,"US President Donald Trump has withdrawn the United States from 66 international organizations, including the UN Framework Convention on Climate Change, citing that these entities no longer serve American interests and promote ineffective agendas. The decision, described by critics as detrimental to global cooperation and scientific consensus on climate change, follows Trump's previous withdrawal from the Paris climate agreement and reflects his administration's stance against multilateralism."
08/01/2026,Inside the sub-zero lair of the world's most powerful computer,https://www.bbc.com/news/articles/c62r6dvpl5ro,"Google's Willow, the world's most powerful quantum computer, is housed in a high-security facility in Santa Barbara, California. This advanced technology, capable of solving problems beyond the reach of classical computers, has achieved significant milestones, including error correction and solving complex benchmarks in minutes. Willow's potential applications range from drug discovery to addressing climate change, positioning it as a key player in the future of quantum computing and global technological supremacy."
08/01/2026,Australia to deport British man over alleged neo-Nazi links,https://www.bbc.com/news/articles/cgez1drnzxdo,"Australia is set to deport British man Ryan Turner due to his alleged membership in the neo-Nazi group National Socialist Network, which organized an anti-Jewish rally last year. His visa was canceled on character grounds, and he is currently in immigration detention, with options to appeal or return to the UK. The Australian government has emphasized its zero tolerance for hate and bigotry, recently tightening hate crime laws amid rising concerns over antisemitism and right-wing extremism."
08/01/2026,People who come off slimming jabs regain weight four times faster than dieters,https://www.bbc.com/news/articles/c050ljnrv2qo,"Research indicates that individuals who stop using weight-loss injections like Mounjaro and Wegovy regain weight four times faster than those who cease conventional dieting, averaging a weight regain of 0.8 kg per month. The study, which analyzed data from over 9,000 patients, highlights the importance of understanding the risks of rapid weight regain after discontinuing these treatments and suggests that continuous lifestyle changes are essential for long-term weight management."
08/01/2026,Children in Gaza return to school after years without formal education,https://www.bbc.com/news/articles/c62vmn30j3yo,"Children in Gaza have returned to school for the first time in nearly two years following a ceasefire after the recent conflict, with makeshift classrooms set up in tents due to extensive damage to educational facilities. Despite the challenging conditions, including limited subjects and resources, the initiative aims to provide a semblance of normalcy and support for children traumatized by the war. UNICEF reports that over 97% of schools in Gaza were affected, highlighting the urgent need for educational resources and psychological support for the affected youth."
